id,bf,proper,ra,dec,dist,mag,absmag,spect,ci,bayer,flam,con
0,NA,Sol,0,0,0,-26.7,4.85,G2V,0.656,NA,NA,NA
88,Tau Phe,NA,0.017941,-48.809876,181.8182,5.71,-0.588,G8III,0.911,Tau,NA,Phe
107,NA,NA,0.022255,-50.337373,166.3894,5.53,-0.576,M2III,1.615,NA,NA,Phe
122,The Oct,NA,0.026616,-77.065724,66.5779,4.78,0.663,K2III,1.254,The,NA,Oct
124,NA,NA,0.026949,61.222801,943.3962,5.58,-4.293,F0III,0.407,NA,NA,Cas
145,29    Psc,NA,0.030402,-3.027504,139.2758,5.13,-0.589,B7III-IV,-0.128,NA,29,Psc
154,30    Psc,NA,0.032672,-6.014072,132.4503,4.37,-1.24,M3III,1.631,NA,30,Psc
171,85    Peg,NA,0.036139,27.082256,12.1699,5.8,5.374,G3V,0.69,NA,85,Peg
183,Zet Scl,NA,0.038867,-29.720414,154.0832,5.04,-0.899,B4V,-0.15,Zet,NA,Scl
194,32    Psc,NA,0.041584,8.485463,36.9004,5.7,2.865,F0V,0.315,NA,32,Psc
208,NA,NA,0.043357,66.098966,100000,5.87,-14.13,G8III,1.073,NA,NA,Cas
300,2    Cet,NA,0.062330000000000003,-17.335988,83.4725,4.55,-0.058,B9IVn,-0.047,NA,2,Cet
330,9    Cas,NA,0.070462,62.287664,100000,5.9,-14.1,A1III,0.274,NA,9,Cas
343,NA,NA,0.072165000000000007,-16.529036,90.6618,5.78,0.993,K0III,1.084,NA,NA,Cet
355,3    Cet,NA,0.075033,-10.509523,641.0256,4.99,-4.044,K3Ibvar,1.619,NA,3,Cet
377,NA,NA,0.078131,-71.436891,175.4386,5.59,-0.631,B8III,-0.1,NA,NA,Tuc
379,NA,NA,0.078304,67.166445,92.6784,5.68,0.845,K1III,1.051,NA,NA,Cep
418,NA,NA,0.085039,61.31397,221.7295,5.8,-0.929,B8MNp...,-0.067,NA,NA,Cas
441,33    Psc,NA,0.088928,-5.707618,39.4945,4.61,1.627,K1III,1.029,NA,33,Psc
475,86    Peg,NA,0.094989,13.396266,114.2857,5.55,0.26,G5III,0.901,NA,86,Peg
517,NA,NA,0.104356,58.436733,21.4777,5.98,4.32,G5V,0.687,NA,NA,Cas
521,NA,NA,0.105277,-49.075191,25.7136,5.7,3.649,G1IV...,0.519,NA,NA,Phe
530,10    Cas,NA,0.10737,64.196168,265.9574,5.57,-1.554,B9III,-0.023,NA,10,Cas
635,NA,NA,0.129693,-22.50856,78.3699,5.93,1.459,A1V,0.141,NA,NA,Cet
654,NA,NA,0.134303,-33.529326,94.9668,5.67,0.782,K1III,1.119,NA,NA,Scl
670,NA,NA,0.138204,-8.824112,98.4252,5.99,1.024,G8III:,1.034,NA,NA,Cet
676,21Alp And,Alpheratz,0.139791,29.090432,29.7442,2.07,-0.297,B9p,-0.038,Alp,21,And
727,87    Peg,NA,0.150672,18.211963,87.4126,5.57,0.862,G9III,1.043,NA,87,Peg
744,11Bet Cas,Caph,0.152887,59.14978,16.7842,2.28,1.155,F2III-IV,0.38,Bet,11,Cas
759,Kap1Scl,NA,0.155851,-27.987928,77.4593,5.42,0.975,F3V,0.414,Kap-1,NA,Scl
763,Eps Phe,NA,0.156836,-45.747426,44.2087,3.88,0.652,K0III,1.013,Eps,NA,Phe
811,34    Psc,NA,0.167278,11.145813,93.633,5.54,0.683,B9V,-0.064,NA,34,Psc
812,Gam3Oct,NA,0.167293,-82.224047,78.064,5.29,0.828,K1/K2III,1.049,Gam-3,NA,Oct
838,NA,NA,0.171908,-5.248588,58.309,5.84,2.011,K1III,0.973,NA,NA,Psc
839,22    And,NA,0.172012,46.072272,377.3585,5.01,-2.874,F2II,0.405,NA,22,And
871,NA,NA,0.178565,-12.579897,75.0188,5.84,1.464,K0III,1,NA,NA,Cet
908,6    Cet,NA,0.187739,-15.467977,18.7477,4.89,3.525,F5V,0.487,NA,6,Cet
928,Kap2Scl,NA,0.192894,-27.799737,243.309,5.41,-1.521,K2III,1.346,Kap-2,NA,Scl
948,The Scl,NA,0.195552,-35.133119,21.2766,5.24,3.6,F3/F5V,0.459,The,NA,Scl
981,NA,NA,0.202773,-17.938278,190.8397,5.29,-1.113,K4III,1.478,NA,NA,Cet
1065,88Gam Peg,Algenib,0.220598,15.183596,120.048,2.83,-2.567,B2IV,-0.19,Gam,88,Peg
1072,NA,NA,0.222099,-84.993978,298.5075,5.78,-1.595,M0/M1III,1.71,NA,NA,Oct
1084,23    And,NA,0.22524,41.03537,34.904,5.71,2.996,F0IV,0.331,NA,23,And
1094,NA,NA,0.228401,-26.022345,396.8254,5.94,-2.053,K5III,1.548,NA,NA,Scl
1156,NA,NA,0.241008,-7.780532,178.5714,5.13,-1.129,M3IIIvar,1.601,NA,NA,Cet
1166,89Chi Peg,NA,0.243378,20.206702,112.8668,4.79,-0.473,M2III,1.572,Chi,89,Peg
1169,7    Cet,NA,0.244005,-18.932866,137.1742,4.44,-1.246,M1III,1.64,NA,7,Cet
1189,NA,NA,0.248476,-9.569571,103.8422,5.77,0.688,B9V,-0.084,NA,NA,Cet
1286,NA,NA,0.269126,-31.446394,152.207,5.66,-0.252,K2III,1.35,NA,NA,Scl
1351,NA,NA,0.282513,61.533185,190.1141,5.74,-0.655,G8III,0.898,NA,NA,Cas
1363,24The And,NA,0.284863,38.681636,94.697,4.61,-0.272,A2V,0.059,The,24,And
1369,NA,NA,0.285845,47.947405,343.6426,5.86,-1.821,B7III,-0.079,NA,NA,Cas
1470,25Sig And,NA,0.305463,36.785224,41.3223,4.51,1.429,A2V,0.054,Sig,25,And
1490,NA,NA,0.310625,31.517227,166.6667,5.88,-0.229,A0IV,-0.014,NA,NA,And
1559,8Iot Cet,NA,0.323799,-8.823921,84.1751,3.56,-1.066,K2III,1.214,Iot,8,Cet
1595,Zet Tuc,NA,0.334142,-64.874791,8.5866,4.23,4.561,F9V,0.576,Zet,NA,Tuc
1626,NA,NA,0.340111,30.935614,159.7444,5.89,-0.127,B7V,-0.098,NA,NA,And
1641,41    Psc,NA,0.343295,8.190271,125,5.38,-0.105,K3III,1.343,NA,41,Psc
1643,Pi  Tuc,NA,0.344178,-69.624913,97.561,5.5,0.554,B9V,-0.046,Pi,NA,Tuc
1653,NA,NA,0.345978,32.911186,191.9386,5.79,-0.626,K5III,1.595,NA,NA,And
1682,27Rho And,NA,0.352017,37.968603,48.5437,5.16,1.729,F5III,0.442,Rho,27,And
1702,NA,NA,0.357986,-77.426873,174.8252,5.96,-0.253,K3III,1.397,NA,NA,Hyi
1704,Iot Scl,NA,0.358665,-28.981469,101.3171,5.18,0.152,K0III,1.006,Iot,NA,Scl
1724,NA,NA,0.362853,-20.058024,270.2703,5.61,-1.549,M5/M6Ib/II,1.58,NA,NA,Cet
1916,NA,NA,0.404348,52.019914,306.7485,5.58,-1.854,B5IV,-0.11,NA,NA,Cas
1955,12    Cas,NA,0.413193,61.831057,215.0538,5.38,-1.283,B9III,0.008,NA,12,Cas
1977,NA,NA,0.418445,53.046786,158.2278,5.72,-0.276,B9IV,-0.056,NA,NA,Cas
2000,44    Psc,NA,0.423391,1.939692,144.0922,5.77,-0.023,G5III,0.855,NA,44,Psc
2016,Bet Hyi,NA,0.427916,-77.254247,7.4588,2.82,3.457,G2IV,0.618,Bet,NA,Hyi
2069,Kap Phe,NA,0.436716,-43.679829,23.8095,3.93,2.046,A7V,0.175,Kap,NA,Phe
2076,Alp Phe,Ankaa,0.438056,-42.305981,25.974,2.4,0.327,K0III...,1.083,Alp,NA,Phe
2153,NA,NA,0.454085,-25.54717,176.0563,5.99,-0.238,K0III,1.022,NA,NA,Scl
2204,Eta Scl,NA,0.465472,-33.007167,138.5042,4.86,-0.847,M2/M3III,1.634,Eta,NA,Scl
2213,47    Psc,NA,0.467475,17.893125,162.0746,5.01,-1.039,M3IIIvar,1.584,NA,47,Psc
2220,NA,NA,0.470454,44.394452,86.6551,5.18,0.491,A2Vs,0.043,NA,NA,And
2234,NA,NA,0.474027,-39.915002,115.2074,5.42,0.113,M0III,1.556,NA,NA,Phe
2347,12    Cet,NA,0.500655,-3.957332,173.913,5.72,-0.482,M0III,1.545,NA,12,Cet
2349,28    And,NA,0.502045,29.751557,62.7746,5.2,1.211,A7III,0.271,NA,28,And
